,# mesurment,ex_wl,spectro_center_wl,grating,spf,lpf,lpf2,av_power,std_power,num_power,time_taken,ex_time,em_wl,counts
140,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,146.09776,3108.0
141,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,146.09776,3109.0
142,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,146.09776,3109.0
143,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,146.09776,3095.0
144,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,146.09776,3130.0
145,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,146.62323,3094.0
146,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,146.62323,3117.0
147,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,146.62323,3090.0
148,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,146.62323,3107.0
149,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,146.62323,3111.0
150,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,147.1487,3079.0
151,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,147.1487,3097.0
152,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,147.1487,3080.0
153,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,147.1487,3133.0
154,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,147.1487,3099.0
155,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,147.67416,3094.0
156,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,147.67416,3114.0
157,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,147.67416,3111.0
158,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,147.67416,3106.0
159,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,147.67416,3110.0
160,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,148.19962,3092.0
161,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,148.19962,3095.0
162,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,148.19962,3099.0
163,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,148.19962,3095.0
164,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,148.19962,3090.0
165,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,148.72508,3091.0
166,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,148.72508,3094.0
167,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,148.72508,3106.0
168,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,148.72508,3097.0
169,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,148.72508,3091.0
170,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,149.25053,3107.0
171,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,149.25053,3116.0
172,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,149.25053,3102.0
173,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,149.25053,3103.0
174,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,149.25053,3101.0
175,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,149.77599,3106.0
176,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,149.77599,3109.0
177,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,149.77599,3104.0
178,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,149.77599,3091.0
179,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,149.77599,3114.0
180,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,150.30144,3113.0
181,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,150.30144,3085.0
182,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,150.30144,3098.0
